,Index,Frequency (Hz),Z' (Ω),-Z'' (Ω),Z (Ω),-Phase (°),Time (s)
87,27,251.19,59.8172793915668,41.6850311862344,72.9091814438078,34.8715890820435,1037.17440638139
88,28,199.53,61.2391364051981,51.7106938494266,80.1512800025276,40.1779478872273,1040.46746737307
89,29,158.49,63.2465337475635,64.3609247097154,90.2355398973782,45.5003490904253,1046.33657735825
90,30,125.89,66.1368541921239,80.064390222054,103.847917957269,50.4417332774175,1049.8446413494
91,31,100.0,70.3524771711195,99.4715173506527,121.83617610609,54.7296615312296,1053.52270734011
92,32,79.433,76.6643350997675,123.605370846424,145.450018832489,58.1913764084054,1057.38077833037
93,33,63.096,86.4042177247049,152.866789445711,175.595968507416,60.5237559865886,1061.36385432031
94,34,50.119,100.058673872611,189.072384173873,213.916115976189,62.1118355880101,1065.6469313095
95,35,39.811,120.475254192743,230.564004769362,260.142359426704,62.4118466389614,1069.38500230006
96,36,31.623,150.233979061012,279.375887308776,317.208346160801,61.7309226113647,1073.95308528853
97,37,25.119,192.562549121384,333.239452949124,384.875133421162,59.9785133814531,1076.49113428212
98,38,19.953,250.795719511864,387.659197930661,461.712190293604,57.0991938300734,1079.45918927463
99,39,15.849,325.387838472067,439.476781833684,546.824548823857,53.4838176827581,1084.43728026206
100,40,12.589,418.87772193285,480.772174206237,637.652279398926,48.935654993104,1089.50537324926
101,41,10.0,524.576538715257,504.702233931477,727.945664116425,43.893815427912,1099.60056322378
102,42,7.9433,635.521437592548,506.673222531739,812.776261999818,38.5638111046624,1111.25378019435
103,43,6.3096,741.183612236487,492.363080446535,889.817144156443,33.5958094911222,1121.5319711684
104,44,5.0119,835.740856168882,457.257555162834,952.65274388068,28.6843214219787,1125.39004015866
105,45,3.9811,913.11584199539,413.309311812122,1002.2999192525,24.3532303234126,1131.20814714397
106,46,3.1623,976.993824377221,367.83075486211,1043.94271734308,20.6309747883597,1137.27126012867
107,47,2.5119,1025.03927234334,324.750154574824,1075.25260880527,17.5791014865557,1143.31437011341
108,48,1.9953,1063.03768274655,285.039333951829,1100.58917714053,15.0100191144837,1148.86047409941
109,49,1.5849,1096.56544430647,257.273722748232,1126.34166311284,13.2037945866683,1152.5085390902
110,50,1.2589,1118.2680035643,226.638865141536,1141.00328789549,11.4569274018676,1156.62161807981
111,51,1.0,1137.24505191445,205.681842101314,1155.69517100059,10.2516800015881,1163.1227380634
112,52,0.79433,1156.58324933471,191.465691539063,1172.32415469364,9.399738480195,1167.15581105321
113,53,0.63096,1174.38773097012,182.669751817913,1188.50947866745,8.84120558633938,1171.58389304204
114,54,0.50119,1189.96296611344,178.570884855829,1203.28692407077,8.53436510936698,1176.42198302982
115,55,0.39811,1208.19107181374,180.0056400939,1221.52678909471,8.4740344257455,1181.47507701706
116,56,0.31623,1229.39040450549,182.888817458081,1242.91958156647,8.46148395333848,1187.31818700231
117,57,0.25119,1250.09292251089,191.994578572165,1264.75066045166,8.73150241992958,1193.73130598612
118,58,0.19953,1270.73416135625,203.475494132532,1286.92174802909,9.09722422634057,1200.8694349681
119,59,0.15849,1298.60739415184,215.953129168865,1316.44100442962,9.44165362694262,1209.12759094725
120,60,0.12589,1324.70929175602,234.016940162146,1345.22066440699,10.018244011342,1218.67076492315
